Files already downloaded and verified
Market1501 dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   676 |    11744
  val      |    75 |     1192
  trainval |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
Files already downloaded and verified
DukeMTMC dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   632 |    14923
  val      |    70 |     1599
  trainval |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
Resuming checkpoints from finetuned model on another dataset...

=> Loaded checkpoint 'ACT_pretrain/logMar/adaM2D.pth'
Mean AP: 49.4%
CMC Scores    allshots      cuhk03  market1501
  top-1          33.3%       52.1%       67.7%
  top-5          45.8%       68.7%       80.3%
  top-10         51.5%       74.5%       83.4%
Iteration 1: Extracting Target Dataset Features...
Computing source distance...
-----* Distance Matrix has been computed*-----
Computing original distance...
-----* Distance Matrix has been computed*-----
done...
Starting re_ranking...
clusters num = 664
Iteration 1 have 13778 training images
Epoch: [2][35/41]	Time 0.548 (0.778)	Data 0.000 (0.068)	Loss 0.051 (0.070)	Prec 97.92% (95.98%)	
Epoch: [2][36/41]	Time 0.598 (0.773)	Data 0.000 (0.066)	Loss 0.053 (0.070)	Prec 95.83% (95.98%)	
Epoch: [2][37/41]	Time 1.032 (0.780)	Data 0.000 (0.064)	Loss 0.070 (0.070)	Prec 94.79% (95.95%)	
Epoch: [2][38/41]	Time 0.751 (0.780)	Data 0.000 (0.062)	Loss 0.051 (0.069)	Prec 100.00% (96.05%)	
Epoch: [2][39/41]	Time 0.680 (0.777)	Data 0.000 (0.061)	Loss 0.089 (0.070)	Prec 94.79% (96.02%)	
Epoch: [2][40/41]	Time 0.551 (0.771)	Data 0.000 (0.059)	Loss 0.098 (0.071)	Prec 93.75% (95.96%)	
Epoch: [2][41/41]	Time 0.390 (0.762)	Data 0.000 (0.058)	Loss 0.072 (0.071)	Prec 97.92% (96.01%)	
Epoch: [3][1/41]	Time 4.849 (4.849)	Data 3.769 (3.769)	Loss 0.065 (0.065)	Prec 97.92% (97.92%)	
Epoch: [3][2/41]	Time 1.050 (2.949)	Data 0.007 (1.888)	Loss 0.078 (0.071)	Prec 95.83% (96.88%)	
Epoch: [3][3/41]	Time 0.844 (2.247)	Data 0.001 (1.259)	Loss 0.037 (0.060)	Prec 97.92% (97.22%)	
Epoch: [3][4/41]	Time 0.785 (1.882)	Data 0.000 (0.944)	Loss 0.034 (0.053)	Prec 98.96% (97.66%)	
Epoch: [3][5/41]	Time 0.885 (1.683)	Data 0.000 (0.756)	Loss 0.059 (0.054)	Prec 98.96% (97.92%)	
Epoch: [3][6/41]	Time 1.012 (1.571)	Data 0.001 (0.630)	Loss 0.022 (0.049)	Prec 100.00% (98.26%)	
Epoch: [3][7/41]	Time 0.555 (1.426)	Data 0.000 (0.540)	Loss 0.081 (0.054)	Prec 93.75% (97.62%)	
Epoch: [3][8/41]	Time 0.434 (1.302)	Data 0.000 (0.472)	Loss 0.058 (0.054)	Prec 97.92% (97.66%)	
Epoch: [3][9/41]	Time 0.449 (1.207)	Data 0.000 (0.420)	Loss 0.073 (0.056)	Prec 97.92% (97.69%)	
Epoch: [3][10/41]	Time 0.441 (1.130)	Data 0.000 (0.378)	Loss 0.061 (0.057)	Prec 94.79% (97.40%)	
Epoch: [3][11/41]	Time 0.544 (1.077)	Data 0.010 (0.345)	Loss 0.039 (0.055)	Prec 97.92% (97.44%)	
Epoch: [3][12/41]	Time 1.016 (1.072)	Data 0.000 (0.316)	Loss 0.075 (0.057)	Prec 97.92% (97.48%)	
